# time Uy_probe0 Uy_probe1
72.691 0.0600464 0.15916
72.692 0.0601675 0.159247
72.693 0.0602884 0.159333
72.694 0.0604091 0.159419
72.695 0.0605297 0.159506
72.696 0.0606502 0.159592
72.697 0.0607712 0.159678
72.698 0.0608922 0.159765
72.699 0.0610132 0.159851
72.7 0.0611341 0.159937
72.701 0.0612548 0.160023
72.702 0.0613755 0.160109
72.703 0.061496 0.160195
72.704 0.0616165 0.160281
72.705 0.061737 0.160367
72.706 0.0618573 0.160453
72.707 0.0619777 0.160539
72.708 0.0620984 0.160625
72.709 0.0622184 0.160711
72.71 0.0623384 0.160797
72.711 0.0624582 0.160883
72.712 0.062578 0.160969
72.713 0.0626977 0.161054
72.714 0.0628173 0.16114
72.715 0.0629369 0.161226
72.716 0.0630564 0.161311
72.717 0.0631757 0.161397
72.718 0.063295 0.161483
72.719 0.0634141 0.161568
72.72 0.0635332 0.161654
72.721 0.0636522 0.161739
72.722 0.0637712 0.161825
72.723 0.06389 0.16191
72.724 0.0640087 0.161995
72.725 0.0641274 0.162081
72.726 0.064246 0.162166
72.727 0.0643645 0.162251
72.728 0.0644829 0.162337
72.729 0.0646012 0.162422
72.73 0.0647194 0.162507
72.731 0.0648376 0.162592
72.732 0.0649557 0.162677
72.733 0.0650737 0.162762
72.734 0.0651915 0.162848
72.735 0.0653093 0.162933
72.736 0.065427 0.163018
72.737 0.0655445 0.163103
72.738 0.065662 0.163188
72.739 0.0657794 0.163272
72.74 0.0658967 0.163357
72.741 0.0660139 0.163442
72.742 0.066131 0.163527
72.743 0.066248 0.163612
72.744 0.0663649 0.163696
72.745 0.0664816 0.163781
72.746 0.0665982 0.163866
72.747 0.0667149 0.163951
72.748 0.0668316 0.164035
72.749 0.0669485 0.16412
72.75 0.0670652 0.164204
72.751 0.0671818 0.164289
72.752 0.0672983 0.164373
72.753 0.0674147 0.164457
72.754 0.0675309 0.164542
72.755 0.0676471 0.164626
72.756 0.0677632 0.164711
72.757 0.0678793 0.164795
72.758 0.0679952 0.164879
